DATE,LTDACBM027NBOG
2018-02-01,1606.305
2018-03-01,1584.4944
2018-04-01,1612.9888
2018-05-01,1615.8806
2018-06-01,1629.158
2018-07-01,1640.4419
2018-08-01,1632.7178
2018-09-01,1651.1683
2018-10-01,1672.3998
2018-11-01,1663.8102
2018-12-01,1676.2733
2019-01-01,1732.4233
2019-02-01,1762.552
2019-03-01,1784.4098
2019-04-01,1814.9479
2019-05-01,1800.2095
2019-06-01,1779.2781
2019-07-01,1778.6689
2019-08-01,1792.5383
2019-09-01,1798.5491
2019-10-01,1811.5922
2019-11-01,1833.0562
2019-12-01,1845.1818
2020-01-01,1862.1557
2020-02-01,1857.7552
2020-03-01,1797.089
2020-04-01,1811.3022
2020-05-01,1787.3295
2020-06-01,1741.7338
2020-07-01,1710.405
2020-08-01,1666.0757
2020-09-01,1600.5912
2020-10-01,1558.5198
2020-11-01,1535.4248
2020-12-01,1515.0569
2021-01-01,1514.6707
2021-02-01,1511.7493
2021-03-01,1492.3051
2021-04-01,1486.3541
2021-05-01,1476.2348
2021-06-01,1468.5696
2021-07-01,1443.1369
2021-08-01,1442.5983
2021-09-01,1424.2494
